FIPS_CODE,COUNTY_CODE,COUNTY,ST,STATE,FOOD_INSECURITY,SEVERE_HOUSING_COST_BURDEN,UNEMPLOYED,NO_VEHICLE_ACCESS,UNINSURED
2013,13,Aleutians East Borough,AK,ALASKA,0.116,0.1058,0.035,0.23,0.456
2016,16,Aleutians West Census Area,AK,ALASKA,0.113,0.0704,0.02,0.164,0.188
2020,20,Anchorage Borough,AK,ALASKA,0.115,0.1272,0.056,0.058,0.122
2050,50,Bethel Census Area,AK,ALASKA,0.211,0.1049,0.183,0.565,0.207
2060,60,Bristol Bay Borough,AK,ALASKA,0.122,0.0433,0.081,0.099,0.198
2068,68,Denali Borough,AK,ALASKA,0.149,0.0405,0.03,0.033,0.192
2070,70,Dillingham Census Area,AK,ALASKA,0.161,0.1009,0.119,0.383,0.224
2090,90,Fairbanks North Star Borough,AK,ALASKA,0.115,0.1351,0.07,0.043,0.1
2100,100,Haines Borough,AK,ALASKA,0.133,0.0788,0.037,0.071,0.155
2105,105,Hoonah-Angoon Census Area,AK,ALASKA,0.155,0.0468,0.109,0.302,0.251
2110,110,Juneau Borough,AK,ALASKA,0.104,0.098,0.058,0.09,0.111
2122,122,Kenai Peninsula Borough,AK,ALASKA,0.139,0.122,0.078,0.066,0.172
2130,130,Ketchikan Gateway Borough,AK,ALASKA,0.131,0.1373,0.066,0.113,0.132
2150,150,Kodiak Island Borough,AK,ALASKA,0.123,0.1058,0.052,0.094,0.203
2158,158,Kusilvak Census Area,AK,ALASKA,0.28,0.0877,0.289,0.878,0.211
2164,164,Lake and Peninsula Borough,AK,ALASKA,0.173,0.0828,0.157,0.473,0.316
2170,170,Matanuska-Susitna Borough,AK,ALASKA,0.126,0.1351,0.095,0.033,0.152
2180,180,Nome Census Area,AK,ALASKA,0.191,0.1216,0.167,0.57,0.225
2185,185,North Slope Borough,AK,ALASKA,0.131,0.101,0.09,0.382,0.208
2188,188,Northwest Arctic Borough,AK,ALASKA,0.212,0.0955,0.187,0.657,0.276
2195,195,Petersburg Census Area,AK,ALASKA,0.138,0.0948,0.043,0.158,0.091
2198,198,Prince of Wales-Hyder Census Area,AK,ALASKA,0.178,0.0828,0.121,0.108,0.259
2220,220,Sitka Borough,AK,ALASKA,0.11,0.1286,0.044,0.134,0.183
2230,230,Skagway Municipality,AK,ALASKA,0.13,0.0205,0.068,0.078,0.189
2240,240,Southeast Fairbanks Census Area,AK,ALASKA,0.148,0.0549,0.102,0.053,0.156
2261,261,Valdez-Cordova Census Area,AK,ALASKA,0.119,0.0625,0.066,0.071,0.157
2275,275,Wrangell City,AK,ALASKA,0.132,0.072,0.056,0.138,0.15
2282,282,Yakutat Borough,AK,ALASKA,0.119,0.0386,0.061,0.091,0.205
2290,290,Yukon-Koyukuk Census Area,AK,ALASKA,0.22,0.0959,0.188,0.517,0.292
1001,1,Autauga County,AL,ALABAMA,0.156,0.1337,0.042,0.056,0.071
1003,3,Baldwin County,AL,ALABAMA,0.129,0.1117,0.044,0.034,0.102
1005,5,Barbour County,AL,ALABAMA,0.219,0.1427,0.095,0.092,0.112
1007,7,Bibb County,AL,ALABAMA,0.151,0.0874,0.075,0.06,0.079
1009,9,Blount County,AL,ALABAMA,0.136,0.078,0.041,0.042,0.11
1011,11,Bullock County,AL,ALABAMA,0.205,0.1611,0.111,0.117,0.108
1013,13,Butler County,AL,ALABAMA,0.191,0.1056,0.067,0.078,0.102
1015,15,Calhoun County,AL,ALABAMA,0.174,0.1051,0.088,0.058,0.094
1017,17,Chambers County,AL,ALABAMA,0.164,0.1185,0.05,0.073,0.108
1019,19,Cherokee County,AL,ALABAMA,0.156,0.0823,0.056,0.041,0.083
1021,21,Chilton County,AL,ALABAMA,0.158,0.1206,0.071,0.049,0.142
1023,23,Choctaw County,AL,ALABAMA,0.207,0.078,0.106,0.101,0.114
1025,25,Clarke County,AL,ALABAMA,0.211,0.1173,0.144,0.102,0.108
